,parcelid,logerror,transactiondate,class
0,11016594,0.0276,2016-01-01,lowerror
1,14366692,-0.1684,2016-01-01,higherror
2,12098116,-0.004,2016-01-01,lowerror
3,12643413,0.0218,2016-01-02,lowerror
4,14432541,-0.005,2016-01-02,lowerror
5,11509835,-0.2705,2016-01-02,higherror
6,12286022,0.044000000000000004,2016-01-02,lowerror
7,17177301,0.1638,2016-01-02,higherror
8,14739064,-0.003,2016-01-02,lowerror
9,14677559,0.0843,2016-01-03,higherror
10,10854446,0.3825,2016-01-03,higherror
11,11672170,-0.0161,2016-01-03,lowerror
12,10949761,0.0344,2016-01-03,lowerror
13,14665244,0.0816,2016-01-03,higherror
14,14148540,-0.045,2016-01-03,lowerror
15,14057104,0.002,2016-01-03,lowerror
16,17296797,0.044000000000000004,2016-01-03,lowerror
17,12524288,-0.0419,2016-01-03,lowerror
18,14091502,-0.002,2016-01-03,lowerror
19,10815909,0.01,2016-01-03,lowerror
20,12453853,-0.0387,2016-01-03,lowerror
21,14253461,0.0218,2016-01-03,lowerror
22,14001034,0.0149,2016-01-03,lowerror
23,11458863,0.1151,2016-01-03,higherror
24,13957980,-0.1696,2016-01-03,higherror
25,12752047,-0.044000000000000004,2016-01-03,lowerror
26,11188425,-0.0747,2016-01-03,higherror
27,14646051,0.008,2016-01-03,lowerror
28,10805063,0.001,2016-01-03,lowerror
29,12524725,-0.0534,2016-01-03,lowerror
30,11104966,-0.0398,2016-01-03,lowerror
31,11624877,-0.0294,2016-01-03,lowerror
32,12440314,0.0208,2016-01-03,lowerror
33,12037577,-0.0233,2016-01-03,lowerror
34,11024002,0.0266,2016-01-03,lowerror
35,10777209,-0.0222,2016-01-03,lowerror
36,14022628,-0.0274,2016-01-03,lowerror
37,14195954,-0.001,2016-01-03,lowerror
38,12339438,0.0526,2016-01-03,lowerror
39,14022972,-0.0481,2016-01-03,lowerror
40,11921507,0.0411,2016-01-03,lowerror
41,14055759,0.0237,2016-01-03,lowerror
42,14337898,-0.006,2016-01-03,lowerror
43,10984360,0.0411,2016-01-03,lowerror
44,11708989,-0.091,2016-01-03,higherror
45,14008449,0.045,2016-01-03,lowerror
46,10812783,0.0402,2016-01-03,lowerror
47,14389517,0.045,2016-01-03,lowerror
48,11874881,-0.0367,2016-01-03,lowerror
